,Genome,Genus,Species,AA10,AA3,CBM13,CBM3,CBM32,CBM34,CBM4,CBM48,CBM5,CBM50,CBM63,CBM91,CE1,CE11,CE12,CE2,CE4,CE8,CE9,GH0,GH1,GH102,GH103,GH104,GH105,GH108,GH113,GH12,GH13,GH148,GH153,GH154,GH16,GH171,GH18,GH19,GH2,GH20,GH23,GH24,GH26,GH28,GH3,GH30,GH31,GH32,GH33,GH36,GH38,GH4,GH42,GH43,GH5,GH53,GH65,GH68,GH73,GH77,GH78,GH8,GH88,GH91,GH94,GT0,GT1,GT101,GT11,GT111,GT14,GT19,GT2,GT20,GT25,GT26,GT28,GT30,GT32,GT35,GT4,GT41,GT5,GT51,GT52,GT56,GT73,GT8,GT81,GT83,GT84,GT9,GT97,PL1,PL10,PL11,PL17,PL2,PL22,PL26,PL3,PL35,PL38,PL4,PL9
36,GCF_016944315.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,0,10,1,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,5,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,11,0,1,1,1,1,0,2,6,0,1,3,0,1,0,1,1,1,0,4,0,6,0,0,0,2,1,1,2,0,1,1,2
37,GCF_013449655.1,Pectobacterium,versatile A,0,1,1,1,1,0,0,2,0,4,1,1,1,1,1,0,1,2,1,2,10,1,2,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,7,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,9,0,0,1,1,1,0,2,4,1,1,2,0,1,0,0,1,1,1,3,0,6,0,0,0,2,1,1,2,0,1,1,2
38,GCF_007833835.1,Pectobacterium,actinidiae,0,0,1,1,1,0,0,2,0,5,1,0,1,0,0,0,1,2,1,0,6,0,1,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,5,1,0,2,1,0,0,0,0,1,0,2,1,1,1,2,0,0,1,1,0,1,1,0,0,2,1,0,0,0,0,1,9,0,1,1,1,1,0,2,1,0,1,1,0,1,0,2,1,0,0,4,0,5,0,0,0,1,1,0,2,1,1,0,1
39,GCF_000406265.1,Dickeya,dadantii,0,1,1,0,1,0,0,2,1,5,1,0,1,1,1,0,1,2,1,0,5,1,2,1,2,0,0,0,2,0,0,0,0,0,0,2,1,0,5,0,1,2,3,1,1,1,2,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,14,0,0,0,1,1,0,2,6,1,1,3,0,0,0,0,1,1,0,4,0,7,0,0,0,1,1,1,3,0,1,1,3
40,GCF_004296765.1,Pectobacterium,versatile A,0,1,1,1,1,0,0,2,0,5,1,0,1,1,1,0,1,2,1,2,10,1,1,0,2,0,0,1,3,0,0,0,0,0,0,0,1,0,6,2,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,9,0,0,1,1,1,0,2,4,1,1,3,0,1,0,0,0,1,1,4,0,6,0,0,0,2,1,1,2,0,1,1,2
41,GCF_000808515.1,Pectobacterium,carotovorum,0,1,1,1,1,0,0,2,0,5,1,0,1,1,1,0,0,2,1,2,10,1,1,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,7,3,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,8,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,2,1,1,2,0,1,1,2
42,GCF_013449685.1,Pectobacterium,brasiliense A,0,1,1,1,1,0,0,2,0,4,0,0,1,1,1,0,0,2,1,0,10,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,8,2,0,3,2,0,1,1,1,1,1,1,1,1,1,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,1,1,1,0,2,4,1,1,3,0,1,0,1,0,1,0,2,0,5,0,0,0,2,1,1,1,0,1,1,2
43,GCF_003382625.2,Pectobacterium,aquaticum,0,0,1,1,1,0,0,2,0,5,1,2,1,1,1,0,1,1,1,0,8,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,6,2,0,3,2,0,1,1,0,1,1,1,1,2,1,2,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,7,0,1,1,1,1,0,2,4,0,1,3,0,1,0,2,0,0,1,3,0,4,0,0,0,2,1,0,1,0,1,1,2
44,GCF_016949295.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,0,10,1,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,6,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,12,0,1,1,1,1,1,2,4,0,1,3,0,1,0,2,1,1,0,3,0,6,0,0,0,2,1,1,2,0,1,1,2
45,GCF_016949655.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,2,10,1,2,1,2,0,0,1,3,0,0,0,0,0,0,0,1,0,9,1,0,4,2,0,1,1,1,1,0,1,1,3,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,10,0,0,1,1,1,0,2,5,1,1,3,0,1,0,0,1,1,0,4,0,6,0,0,0,2,1,0,2,0,1,1,2
46,GCF_016949855.1,Pectobacterium,brasiliense,0,1,1,1,1,0,0,2,0,5,1,0,1,1,2,0,1,2,1,0,10,1,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,6,1,0,4,2,1,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,7,0,0,1,1,1,1,2,4,1,1,3,0,1,0,2,1,1,0,3,0,6,0,0,0,2,1,1,2,0,1,1,2
47,GCF_000389755.1,Pectobacterium,atrosepticum,0,1,1,1,1,0,0,2,0,5,1,0,1,1,1,0,1,2,1,0,9,1,1,0,2,0,0,1,4,0,1,0,0,0,0,0,1,0,7,0,0,4,3,0,1,1,1,1,0,2,1,2,1,2,0,0,1,1,0,1,0,0,0,2,1,0,0,1,0,1,9,0,1,1,1,1,1,2,5,1,1,5,1,1,0,2,1,1,0,4,0,6,0,0,0,2,1,1,2,0,1,1,2
48,GCF_000406325.1,Dickeya,zeae,0,0,1,0,1,0,0,2,1,5,1,0,1,1,1,0,1,1,1,0,3,1,2,1,3,0,0,0,2,0,0,0,0,0,0,1,1,0,6,2,0,3,3,1,1,1,2,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,0,1,13,0,0,1,1,1,0,2,9,1,1,3,0,1,0,0,1,1,0,4,0,7,0,0,0,1,1,0,2,0,1,2,3
49,GCF_003382655.2,Pectobacterium,aquaticum,0,0,1,1,1,0,0,2,0,5,1,2,1,1,1,0,1,1,1,0,8,1,1,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,7,1,0,3,2,0,1,1,1,1,1,1,1,2,1,2,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,5,0,1,1,1,1,1,2,2,1,1,3,0,1,0,1,0,0,1,3,0,4,0,0,0,2,1,0,1,0,1,1,2
50,GCF_000406245.1,Dickeya,chrysanthemi,0,0,0,0,2,0,0,2,1,5,1,0,1,1,1,0,1,2,1,0,5,1,2,2,2,0,0,0,2,0,0,0,0,0,0,1,1,0,6,1,0,4,3,0,1,1,1,1,0,0,1,2,1,1,0,0,1,1,1,1,0,0,0,1,2,0,0,0,0,1,10,0,0,1,1,1,0,2,9,1,1,3,0,1,0,0,1,1,0,4,0,7,1,0,0,1,1,1,2,0,1,2,3
51,GCF_000430955.1,Dickeya,dianthicola,0,0,0,0,1,0,0,2,1,5,2,1,1,1,1,1,1,2,1,0,5,1,2,1,2,0,0,0,2,0,0,0,0,0,0,2,1,0,7,0,0,3,3,0,1,2,1,1,0,0,1,1,2,1,0,0,1,1,0,1,0,1,1,1,2,0,0,0,0,1,9,0,0,1,1,1,0,2,6,1,1,3,0,1,0,0,1,1,1,4,0,6,0,0,0,1,1,1,2,0,1,2,3
52,GCF_014854755.1,Dickeya,fangzhongdai,0,1,2,0,0,0,0,2,1,5,1,0,1,1,1,0,1,2,1,0,5,1,2,1,2,0,0,0,2,0,0,0,0,0,0,2,1,0,6,1,1,3,3,1,1,1,2,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,11,0,0,1,1,1,0,2,10,1,1,3,0,1,0,0,1,1,0,4,0,7,1,0,0,1,1,1,2,0,1,1,3
53,GCF_003031305.1,Pectobacterium,versatile A,0,1,1,1,1,0,0,2,0,5,1,0,1,1,1,0,1,2,1,0,10,1,2,0,2,1,0,1,3,0,0,0,0,0,0,0,1,0,6,0,0,4,1,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,7,0,0,1,1,1,1,2,6,1,1,4,0,1,0,2,1,1,1,3,0,6,0,0,0,2,1,1,2,0,1,1,2
54,GCF_016949935.1,Pectobacterium,polaris,0,1,1,1,1,0,0,2,0,5,1,1,1,1,1,0,1,2,1,0,10,1,2,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,5,1,0,4,2,0,1,1,1,1,0,1,1,2,1,2,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,9,0,0,1,1,1,1,2,6,0,1,3,0,1,0,1,1,1,0,4,0,6,0,1,0,2,1,1,2,0,1,1,2
55,GCF_000740965.1,Pectobacterium,atrosepticum,0,1,1,1,1,0,0,2,0,5,1,0,1,1,1,0,1,2,1,2,9,1,1,0,2,0,0,1,4,0,1,0,0,0,0,0,1,0,10,0,0,4,3,0,1,1,1,1,0,2,1,2,1,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,10,0,1,1,1,1,1,2,6,1,1,4,0,1,0,2,1,1,0,4,0,6,0,0,0,2,1,1,2,0,1,1,2
